URL,Last crawled
https://www.moviesforyou.tech/teri_meri_jodi_2019,2021-09-13
https://www.moviesforyou.tech/vadhayiyaan_ji_vadhayiyaan_2018_punjabi_720p,2021-09-11
https://www.moviesforyou.tech/jinde_meriye_2020_punjabi_720p,2021-09-11
https://www.moviesforyou.tech/the_furies_2019_hindi_dubbed_720p,2021-09-11
https://www.moviesforyou.tech/Sarpatta_Parambarai_2021_Unofficial_Hindi_Dubbed_720p,2021-09-11
https://www.moviesforyou.tech/lai_lag_2020_punjabi_1080p,2021-09-10
https://www.moviesforyou.tech/mare_gaye_oye_loko_2018,2021-09-10
https://www.moviesforyou.tech/mimi_2021,2021-09-07
https://www.moviesforyou.tech/Johar_2021_Hindi_Dubbed_720p,2021-09-06
https://www.moviesforyou.tech/nankana_2018_punjabi_720p,2021-09-06
https://www.moviesforyou.tech/Space_Jam_A_New_Legacy_2021_Hindi_Dubbed_720p,2021-09-06
https://www.moviesforyou.tech/siyasat_2021_punjabi_720p,2021-09-06
https://www.moviesforyou.tech/What_If_2021_EP_1_Unofficial_Hindi_Dubbed_Season_1_720p,2021-09-04
https://www.moviesforyou.tech/The_Conjuring_3_The_Devil_Made_Me_Do_It_2021_Hindi_Dubbed_720p,2021-09-03
https://www.moviesforyou.tech/Bigg_Boss_OTT_2021_EP_13_Hindi_Season_1_720p,2021-09-03
https://www.moviesforyou.tech/Sitapur_The_City_of_Gangsters_2021_Hindi_720p,2021-09-02
https://www.moviesforyou.tech/Bigg_Boss_OTT_2021_EP_12_Hindi_Season_1_720p,2021-09-02
https://www.moviesforyou.tech/chubare_wali_baari_2021_punjabi_720p,2021-09-01
https://www.moviesforyou.tech/jind_jaan_2019_punjabi_720p,2021-08-31
https://www.moviesforyou.tech/The_Miniaturist_of_Junagadh_2021_Hindi_720p,2021-08-31
https://www.moviesforyou.tech/gandhi_fer_aa_gea_2020_punjabi_720p,2021-08-31
https://www.moviesforyou.tech/Happy_Hardy_And_Heer_2020_Hindi_720p,2021-08-31
https://www.moviesforyou.tech/Stillwater_2021_English_720p,2021-08-31
https://www.moviesforyou.tech/Shershaah_2021_Hindi_720p,2021-08-29
https://www.moviesforyou.tech/The_Kissing_Booth_3_2021_Hindi_Dubbed_Original_720p,2021-08-29
https://www.moviesforyou.tech/Dhoop_Ki_Deewar_2021_EP_9-18_Hindi_Season_1_Complete_720p,2021-08-29
https://www.moviesforyou.tech/The_Suicide_Squad_2021_Hindi_Dubbed_720p,2021-08-29
https://www.moviesforyou.tech/Go!_Go!_Cory_Carson_2021_Hindi_Dubbed_Season_5_Complete_720p,2021-08-29
